Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
clean_SRR37461708_R1	(21.0, 7.0)	(22.0, 11.0)	(23.0, 11.0)	(24.0, 16.0)	(25.0, 31.0)	(26.0, 57.0)	(27.0, 97.0)	(28.0, 133.0)	(29.0, 244.0)	(30.0, 317.0)	(31.0, 413.0)	(32.0, 613.0)	(33.0, 807.0)	(34.0, 1166.0)	(35.0, 1711.0)	(36.0, 2901.0)	(37.0, 7231.0)	(38.0, 28901.0)						
clean_SRR37461708_R2	(16.0, 1.0)	(17.0, 9.0)	(18.0, 23.0)	(19.0, 26.0)	(20.0, 32.0)	(21.0, 32.0)	(22.0, 47.0)	(23.0, 45.0)	(24.0, 82.0)	(25.0, 76.0)	(26.0, 155.0)	(27.0, 172.0)	(28.0, 265.0)	(29.0, 318.0)	(30.0, 425.0)	(31.0, 579.0)	(32.0, 722.0)	(33.0, 1008.0)	(34.0, 1392.0)	(35.0, 2220.0)	(36.0, 3967.0)	(37.0, 10849.0)	(38.0, 22222.0)	
clean_SRR37461709_R1	(20.0, 1.0)	(21.0, 1.0)	(22.0, 11.0)	(23.0, 25.0)	(24.0, 30.0)	(25.0, 52.0)	(26.0, 75.0)	(27.0, 152.0)	(28.0, 209.0)	(29.0, 324.0)	(30.0, 433.0)	(31.0, 614.0)	(32.0, 832.0)	(33.0, 1126.0)	(34.0, 1560.0)	(35.0, 2278.0)	(36.0, 3860.0)	(37.0, 9267.0)	(38.0, 28972.0)					
clean_SRR37461709_R2	(17.0, 11.0)	(18.0, 24.0)	(19.0, 39.0)	(20.0, 24.0)	(21.0, 20.0)	(22.0, 51.0)	(23.0, 67.0)	(24.0, 94.0)	(25.0, 120.0)	(26.0, 185.0)	(27.0, 255.0)	(28.0, 371.0)	(29.0, 448.0)	(30.0, 561.0)	(31.0, 710.0)	(32.0, 924.0)	(33.0, 1341.0)	(34.0, 1797.0)	(35.0, 2867.0)	(36.0, 5028.0)	(37.0, 13536.0)	(38.0, 21349.0)		
clean_SRR37461710_R1	(20.0, 1.0)	(21.0, 5.0)	(22.0, 7.0)	(23.0, 26.0)	(24.0, 47.0)	(25.0, 59.0)	(26.0, 134.0)	(27.0, 206.0)	(28.0, 289.0)	(29.0, 438.0)	(30.0, 651.0)	(31.0, 877.0)	(32.0, 1158.0)	(33.0, 1611.0)	(34.0, 2285.0)	(35.0, 3197.0)	(36.0, 5123.0)	(37.0, 11812.0)	(38.0, 28720.0)					
clean_SRR37461710_R2	(17.0, 19.0)	(18.0, 26.0)	(19.0, 26.0)	(20.0, 18.0)	(21.0, 43.0)	(22.0, 59.0)	(23.0, 84.0)	(24.0, 82.0)	(25.0, 135.0)	(26.0, 157.0)	(27.0, 217.0)	(28.0, 285.0)	(29.0, 359.0)	(30.0, 466.0)	(31.0, 680.0)	(32.0, 865.0)	(33.0, 1289.0)	(34.0, 1915.0)	(35.0, 3049.0)	(36.0, 5822.0)	(37.0, 15725.0)	(38.0, 25325.0)		
clean_SRR37461711_R1	(20.0, 2.0)	(21.0, 1.0)	(22.0, 8.0)	(23.0, 16.0)	(24.0, 22.0)	(25.0, 24.0)	(26.0, 88.0)	(27.0, 121.0)	(28.0, 188.0)	(29.0, 271.0)	(30.0, 413.0)	(31.0, 573.0)	(32.0, 791.0)	(33.0, 1088.0)	(34.0, 1571.0)	(35.0, 2220.0)	(36.0, 3691.0)	(37.0, 8760.0)	(38.0, 33417.0)					
clean_SRR37461711_R2	(17.0, 12.0)	(18.0, 27.0)	(19.0, 59.0)	(20.0, 125.0)	(21.0, 217.0)	(22.0, 291.0)	(23.0, 338.0)	(24.0, 470.0)	(25.0, 607.0)	(26.0, 686.0)	(27.0, 856.0)	(28.0, 1015.0)	(29.0, 1085.0)	(30.0, 1310.0)	(31.0, 1469.0)	(32.0, 1805.0)	(33.0, 2271.0)	(34.0, 2940.0)	(35.0, 3993.0)	(36.0, 6400.0)	(37.0, 13706.0)	(38.0, 13583.0)		
clean_SRR37461712_R1	(20.0, 1.0)	(21.0, 3.0)	(22.0, 7.0)	(23.0, 14.0)	(24.0, 20.0)	(25.0, 29.0)	(26.0, 52.0)	(27.0, 94.0)	(28.0, 141.0)	(29.0, 226.0)	(30.0, 266.0)	(31.0, 395.0)	(32.0, 511.0)	(33.0, 746.0)	(34.0, 986.0)	(35.0, 1430.0)	(36.0, 2369.0)	(37.0, 5765.0)	(38.0, 21934.0)					
clean_SRR37461712_R2	(17.0, 2.0)	(18.0, 19.0)	(19.0, 26.0)	(20.0, 34.0)	(21.0, 58.0)	(22.0, 78.0)	(23.0, 94.0)	(24.0, 144.0)	(25.0, 188.0)	(26.0, 251.0)	(27.0, 312.0)	(28.0, 424.0)	(29.0, 462.0)	(30.0, 620.0)	(31.0, 778.0)	(32.0, 951.0)	(33.0, 1155.0)	(34.0, 1598.0)	(35.0, 2401.0)	(36.0, 3981.0)	(37.0, 9589.0)	(38.0, 11824.0)		
clean_SRR37461713_R1	(21.0, 2.0)	(22.0, 4.0)	(23.0, 11.0)	(24.0, 24.0)	(25.0, 21.0)	(26.0, 42.0)	(27.0, 68.0)	(28.0, 119.0)	(29.0, 164.0)	(30.0, 229.0)	(31.0, 345.0)	(32.0, 471.0)	(33.0, 549.0)	(34.0, 820.0)	(35.0, 1268.0)	(36.0, 2043.0)	(37.0, 4891.0)	(38.0, 19218.0)						
clean_SRR37461713_R2	(17.0, 6.0)	(18.0, 14.0)	(19.0, 17.0)	(20.0, 28.0)	(21.0, 37.0)	(22.0, 38.0)	(23.0, 56.0)	(24.0, 59.0)	(25.0, 109.0)	(26.0, 131.0)	(27.0, 183.0)	(28.0, 224.0)	(29.0, 304.0)	(30.0, 381.0)	(31.0, 532.0)	(32.0, 590.0)	(33.0, 794.0)	(34.0, 1234.0)	(35.0, 1782.0)	(36.0, 3046.0)	(37.0, 7857.0)	(38.0, 12867.0)		
