Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
clean_SRR37461706_R2	(1.0, 23.352441799404865)	(2.0, 11.845790302818134)	(3.0, 9.773761596359181)	(4.0, 7.482933660073517)	(5.0, 5.9075792053211975)	(6.0, 5.513740591633117)	(7.0, 4.058725713285489)	(8.0, 3.9208821984946614)	(9.0, 3.2885524242954665)	('>10', 23.087694731314546)	('>50', 1.7678977769998252)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461707_R1	(1.0, 15.994106699751862)	(2.0, 9.863523573200993)	(3.0, 7.918734491315137)	(4.0, 7.078163771712159)	(5.0, 6.156947890818858)	(6.0, 5.54590570719603)	(7.0, 4.396712158808933)	(8.0, 4.168734491315137)	(9.0, 3.335918114143921)	('>10', 32.907878411910666)	('>50', 2.11848635235732)	('>100', 0.5148883374689825)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461707_R2	(1.0, 20.1659429280397)	(2.0, 9.55955334987593)	(3.0, 7.788461538461538)	(4.0, 6.767990074441688)	(5.0, 5.862282878411911)	(6.0, 4.857320099255583)	(7.0, 4.494416873449132)	(8.0, 3.672456575682382)	(9.0, 3.6569478908188584)	('>10', 30.437344913151364)	('>50', 2.2037841191067)	('>100', 0.533498759305211)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461708_R1	(1.0, 17.381959836120625)	(2.0, 9.322318490160521)	(3.0, 6.870844247430989)	(4.0, 5.722345355631674)	(5.0, 4.835784807576063)	(6.0, 4.002955201826852)	(7.0, 3.714151386929948)	(8.0, 2.847739942239237)	(9.0, 2.3574450936933307)	('>10', 33.25273691987373)	('>50', 6.608905903687286)	('>100', 3.0828128148297402)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461708_R2	(1.0, 19.10806635771375)	(2.0, 9.17455839881792)	(3.0, 6.978306132043791)	(4.0, 5.614883471018873)	(5.0, 4.723845344437728)	(6.0, 4.271609913358856)	(7.0, 3.5574361385362794)	(8.0, 3.438780307609645)	(9.0, 2.4178924037880316)	('>10', 31.596032865426377)	('>50', 6.046969798732845)	('>100', 3.0716188685159067)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461709_R1	(1.0, 19.31074625667376)	(2.0, 11.139657179559231)	(3.0, 8.423989402272088)	(4.0, 6.6235799446027865)	(5.0, 5.981293404520092)	(6.0, 4.87736341375296)	(7.0, 4.51005579864317)	(8.0, 3.7252619324796274)	(9.0, 3.179318373409337)	('>10', 28.499458070731805)	('>50', 3.5004616434506843)	('>100', 0.22881457990445989)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461709_R2	(1.0, 21.13724860503392)	(2.0, 10.613785074866525)	(3.0, 8.56248243747742)	(4.0, 7.057123359158604)	(5.0, 5.5899000441572)	(6.0, 5.226606719922926)	(7.0, 4.130705310906828)	(8.0, 3.7252619324796274)	(9.0, 2.9264180482517763)	('>10', 27.186784954437798)	('>50', 3.4061258078760384)	('>100', 0.43755770543133554)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461710_R1	(1.0, 17.837093528227943)	(2.0, 10.634466687850864)	(3.0, 8.399533947675035)	(4.0, 7.047276065388554)	(5.0, 6.64654167990679)	(6.0, 5.4337464251668255)	(7.0, 4.769974932034036)	(8.0, 3.799032588355753)	(9.0, 3.7813790911979663)	('>10', 28.872294601560565)	('>50', 2.384987466017018)	('>100', 0.39367298661864913)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461710_R2	(1.0, 18.144264378773435)	(2.0, 10.655650884440208)	(3.0, 8.516047028916427)	(4.0, 7.273240829008226)	(5.0, 6.284644988172157)	(6.0, 4.946509903611906)	(7.0, 4.621685555908626)	(8.0, 4.166225329237722)	(9.0, 2.92341912932952)	('>10', 29.451329308335982)	('>50', 2.63919782508915)	('>100', 0.3777848391766409)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461711_R1	(1.0, 17.05435088707406)	(2.0, 9.07162301699052)	(3.0, 7.716136299633907)	(4.0, 6.3831784473857125)	(5.0, 5.172251947808129)	(6.0, 4.517037454238243)	(7.0, 3.8374166901342344)	(8.0, 3.649676147564066)	(9.0, 3.2779498732751335)	('>10', 33.316436684502015)	('>50', 4.759222754153759)	('>100', 1.244719797240214)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461711_R2	(1.0, 25.523326762414346)	(2.0, 9.443349291279452)	(3.0, 7.062799211489722)	(4.0, 5.527081573265747)	(5.0, 5.247348164836197)	(6.0, 3.9312869614193184)	(7.0, 3.640289120435558)	(8.0, 3.033887167933915)	(9.0, 3.142776682624613)	('>10', 28.90077912325167)	('>50', 3.424387496479865)	('>100', 1.1226884445696048)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461712_R1	(1.0, 24.233330475292234)	(2.0, 14.810368973105833)	(3.0, 11.575066449455543)	(4.0, 8.494098145131327)	(5.0, 5.916145074166167)	(6.0, 5.161622224127583)	(7.0, 4.601446168795907)	(8.0, 3.4296493183571983)	(9.0, 2.6751264683186142)	('>10', 18.38292034639458)	('>50', 0.7202263568550116)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461712_R2	(1.0, 28.38892223270171)	(2.0, 14.507416616650948)	(3.0, 10.614764640315528)	(4.0, 7.956786418588699)	(5.0, 6.273400211495041)	(6.0, 5.693217868472948)	(7.0, 3.661150647346309)	(8.0, 3.2238703592557663)	(9.0, 2.366458029666467)	('>10', 16.445168481522764)	('>50', 0.8688444939838235)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461713_R1	(1.0, 22.839974908382583)	(2.0, 12.189243619795965)	(3.0, 8.626894252038694)	(4.0, 6.708706130938625)	(5.0, 5.975766780019149)	(6.0, 4.516491135395688)	(7.0, 3.4666050381326556)	(8.0, 3.195879692297534)	(9.0, 3.0308032619102643)	('>10', 25.56043448116478)	('>50', 3.0737231338109545)	('>100', 0.8154775661131104)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461713_R2	(1.0, 25.243487734821223)	(2.0, 11.594968470401797)	(3.0, 8.973554755851959)	(4.0, 6.49740830004292)	(5.0, 4.968800554656807)	(6.0, 4.6749645085674665)	(7.0, 3.674601340420615)	(8.0, 3.2222919211594965)	(9.0, 2.9119482320314303)	('>10', 24.636006470996072)	('>50', 2.812902373799069)	('>100', 0.7890653372511472)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
