Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
clean_SRR24510773_R1										72.6373286612388	37.0	189.98782736152623	217	20.0	0.087327
clean_SRR24510773_R2										67.67780869605048	37.0	189.98213610910716	217	20.0	0.087327
clean_SRR24510774_R1										72.1780619304356	38.0	191.8690300109738	217	30.0	0.104795
clean_SRR24510774_R2										68.24085118564817	38.0	191.81643208168327	217	30.0	0.104795
clean_SRR24510775_R1										76.1706860220089	38.0	184.24071813225407	197	20.0	0.119588
clean_SRR24510775_R2										73.55336655851758	38.0	184.23189617687393	197	20.0	0.119588
clean_SRR24510776_R1										66.26019203753856	37.0	215.58849512664918	251	20.0	0.069049
clean_SRR24510776_R2										60.384654375878	37.0	215.55848745094065	251	20.0	0.069049
clean_SRR24510777_R1										70.35065461632028	38.0	197.66569444262788	222	30.0	0.076457
clean_SRR24510777_R2										66.30524347018586	38.0	197.60490210183502	222	30.0	0.076457
clean_SRR24510778_R1										56.33536616097979	37.0	225.10317020311476	251	20.0	0.039681999999999995
clean_SRR24510778_R2										52.86527896779396	37.0	225.0417821682375	251	20.0	0.039681999999999995
clean_SRR24510779_R1										50.188120904671315	37.0	217.50894102726696	251	20.0	0.023655
clean_SRR24510779_R2										46.188966391883326	37.0	217.4721623335447	251	10.0	0.023655
clean_SRR24510780_R1										57.913876098786105	37.0	212.92517789870237	251	20.0	0.038224
clean_SRR24510780_R2										52.121703641691084	37.0	212.95557764755128	251	20.0	0.038224
clean_SRR24510782_R1										51.641871062860204	37.0	219.93834606621095	251	20.0	0.029844
clean_SRR24510782_R2										46.04275566277979	37.0	219.9320131349685	251	10.0	0.029844
clean_SRR37461704_R1										69.17253491108119	37.0	196.866698494433	247	18.181818181818183	0.058649
clean_SRR37461704_R2										66.92185715016453	37.0	196.8444815768385	247	18.181818181818183	0.058649
clean_SRR37461705_R1										66.03680722785678	37.0	226.2726266017472	251	18.181818181818183	0.056891
clean_SRR37461705_R2										65.90146068798228	37.0	226.2091719252606	251	18.181818181818183	0.056891
clean_SRR37461706_R1										63.33362506563977	37.0	203.7104848590933	251	18.181818181818183	0.045703999999999995
clean_SRR37461706_R2										60.5242429546648	37.0	203.67856205146157	251	18.181818181818183	0.045703999999999995
clean_SRR37461707_R1										68.9748759305211	37.0	231.04606079404468	251	18.181818181818183	0.06448
clean_SRR37461707_R2										65.38771712158808	37.0	231.02647332506203	251	18.181818181818183	0.06448
clean_SRR37461708_R1										69.44948172028568	37.0	206.0745292945575	247	18.181818181818183	0.044667
clean_SRR37461708_R2										67.82412071551704	37.0	206.09420825217722	251	18.181818181818183	0.044667
clean_SRR37461709_R1										65.39480550760709	37.0	199.622315442977	247	18.181818181818183	0.049822
clean_SRR37461709_R2										63.83726064790655	37.0	199.53478383043634	247	18.181818181818183	0.049822
clean_SRR37461710_R1										66.63665572149843	37.0	214.96096811778412	251	18.181818181818183	0.056645999999999995
clean_SRR37461710_R2										66.40716025844719	37.0	214.9154397486142	251	18.181818181818183	0.056645999999999995
clean_SRR37461711_R1										69.10729372007884	37.0	208.8825119684596	251	18.181818181818183	0.053265
clean_SRR37461711_R2										61.31418379799118	37.0	208.91831408992772	251	18.181818181818183	0.053265
clean_SRR37461712_R1										57.7352882334448	37.0	216.22950070022006	251	18.181818181818183	0.034989
clean_SRR37461712_R2										54.339935408271174	37.0	216.22978650432992	251	18.181818181818183	0.034989
clean_SRR37461713_R1										61.74518802205421	37.0	212.19885106804452	251	18.181818181818183	0.030289
clean_SRR37461713_R2										59.76757238601472	37.0	212.2196837135594	251	18.181818181818183	0.030289
